supplier_category,product_count,suggested_internal_path,confidence,approved_internal_path,reasons,alternative_path
"Uși de interior",525,"Uși și ferestre > Uși de interior",0.98,"","exact match ""usi de interior""","Uși și ferestre > Uși metalice"
"Uși metalice",95,"Uși și ferestre > Uși metalice",0.98,"","exact match ""usi metalice""","Uși și ferestre > Uși de interior"
"Tencuială mozaicată",86,"Fațade și sisteme exterioare > Tencuieli decorative",0.98,"","exact match ""tencuiala mozaicata""",""
"Mânere și rozete",74,"Uși și ferestre > Feronerie pentru uși",0.98,"","exact match ""manere si rozete""",""
"Laminat",67,"Pardoseli > Laminat",0.98,"","exact match ""laminat""",""
"Emailuri",66,"Vopsele și finisaje > Vopsele decorative",0.98,"","exact match ""emailuri""",""
"Lacăte și accesorii",55,"Uși și ferestre > Feronerie pentru uși",0.98,"","exact match ""lacate si accesorii""","Gips-carton și sisteme interioare > Profile pentru gips-carton"
"Chituri pentru rosturi",51,"Beton, ciment și mortare > Chituri pentru rosturi",0.98,"","exact match ""chituri pentru rosturi""","Gips-carton și sisteme interioare > Accesorii gips-carton"
"Profile pentru îmbinare",51,"Pardoseli > Profile de trecere",0.98,"","exact match ""profile pentru imbinare""","Gips-carton și sisteme interioare > Profile pentru gips-carton"
"Plinte",49,"Pardoseli > Plinte",0.98,"","exact match ""plinte""",""
"Vopsea interior",42,"Vopsele și finisaje > Vopsele decorative",0.98,"","exact match ""vopsea interior""","Uși și ferestre > Uși de interior"
"Grunduri",39,"Vopsele și finisaje > Grunduri",0.98,"","exact match ""grunduri""",""
"Lacuri",37,"Vopsele și finisaje > Lacuri și protecția lemnului",0.98,"","exact match ""lacuri""",""
"Baghete fără ornament",33,"Vopsele și finisaje > Baghete și elemente decorative",0.98,"","exact match ""baghete fara ornament""","Beton, ciment și mortare > Adezivi pentru construcții"
"Tencuială decorativă (tinc)",31,"Fațade și sisteme exterioare > Tencuieli decorative",0.86,"","keyword ""tencuiala decorativa""","Vopsele și finisaje > Vopsele decorative"
"Adezivi pentru teracotă",29,"Beton, ciment și mortare > Adezivi pentru construcții",0.98,"","exact match ""adezivi pentru teracota""","Gips-carton și sisteme interioare > Accesorii gips-carton"
"Pardoseli din vinil SPS",28,"Pardoseli > Pardoseli vinil / SPC",0.98,"","exact match ""pardoseli din vinil sps""","Gips-carton și sisteme interioare > Plăci și panouri"
"Pelicule, membrane, accesorii acoperiș",27,"Acoperișuri > Membrane și folii pentru acoperiș",0.86,"","keyword ""pelicule""","Acoperișuri > Accesorii acoperiș"
"Buloane",27,"Elemente de fixare > Buloane, piulițe, șaibe",0.98,"","exact match ""buloane""",""
"Profile",26,"Gips-carton și sisteme interioare > Profile pentru gips-carton",0.98,"","exact match ""profile""","Profile metalice și schelete > Profile pentru construcții"
"Vopsea exterior",26,"Vopsele și finisaje > Vopsele decorative",0.98,"","exact match ""vopsea exterior""",""
"Vată minerală",23,"Termoizolare și fonoizolare > Vată minerală",0.98,"","exact match ""vata minerala""",""
"Coler",23,"Beton, ciment și mortare > Adezivi pentru construcții",0.98,"","exact match ""coler""","Vopsele și finisaje > Pigmenți și coloranți"
"Gleturi",23,"Beton, ciment și mortare > Gleturi",0.98,"","exact match ""gleturi""",""
"Jaluzele",23,"Uși și ferestre > Jaluzele și rulouri",0.98,"","exact match ""jaluzele""",""
"Adezivi pentru termoizolare",21,"Fațade și sisteme exterioare > Sisteme termoizolante pentru fațade",0.98,"","exact match ""adezivi pentru termoizolare""","Gips-carton și sisteme interioare > Accesorii gips-carton"
"Burghii",21,"Scule și echipamente > Burghii și accesorii",0.98,"","exact match ""burghii""",""
"Amescuri uscate",20,"Beton, ciment și mortare > Mortare și șape",0.98,"","exact match ""amescuri uscate""",""
"Tehnonikoli (Rusia)",20,"Acoperișuri > Membrane și folii pentru acoperiș",0.86,"","keyword ""tehnonikoli""",""
"Jgheab d100 Burlan d75 Alb",20,"Acoperișuri > Sisteme de jgheaburi și burlane",0.86,"","keyword ""jgheab""",""
"Jgheab d100 Burlan d75 Brun",20,"Acoperișuri > Sisteme de jgheaburi și burlane",0.86,"","keyword ""jgheab""",""
"Jgheab d125 Burlan d105 Alb",20,"Acoperișuri > Sisteme de jgheaburi și burlane",0.86,"","keyword ""jgheab""",""
"Jgheab d125 Burlan d105 Brun",20,"Acoperișuri > Sisteme de jgheaburi și burlane",0.86,"","keyword ""jgheab""",""
"Jgheab d125 Burlan d105 Antracit",20,"Acoperișuri > Sisteme de jgheaburi și burlane",0.86,"","keyword ""jgheab""",""
"Baghete cu ornament",19,"Vopsele și finisaje > Baghete și elemente decorative",0.98,"","exact match ""baghete cu ornament""","Beton, ciment și mortare > Adezivi pentru construcții"
"Silicon și spumă",18,"Hidroizolație și chimie pentru construcții > Etanșanți (silicon, spumă)",0.98,"","exact match ""silicon si spuma""",""
"Scule de tăiat",18,"Scule și echipamente > Scule de tăiat",0.98,"","exact match ""scule de taiat""","Scule și echipamente > Burghii și accesorii"
"Tavane casetate Armstrong",17,"Tavane > Tavane casetate",0.86,"","keyword ""tavane casetate""",""
"Gips carton",15,"Gips-carton și sisteme interioare > Plăci de gips-carton",0.98,"","exact match ""gips carton""","Gips-carton și sisteme interioare > Accesorii gips-carton"
"Protecția lemnului",15,"Vopsele și finisaje > Lacuri și protecția lemnului",0.98,"","exact match ""protectia lemnului""",""
"Lambriu din lemn",14,"Gips-carton și sisteme interioare > Plăci și panouri",0.98,"","exact match ""lambriu din lemn""","Zidărie și materiale structurale > Lemn și cherestea"
"Piulițe",14,"Elemente de fixare > Buloane, piulițe, șaibe",0.98,"","exact match ""piulite""",""
"Jgheab d125 Burlan d90 Cupru",14,"Acoperișuri > Sisteme de jgheaburi și burlane",0.86,"","keyword ""jgheab""",""
"Ancore",13,"Elemente de fixare > Dibluri și ancore",0.98,"","exact match ""ancore""",""
"Șaibe",13,"Elemente de fixare > Buloane, piulițe, șaibe",0.98,"","exact match ""saibe""",""
"Jgheab d125 Burlan d90 Roșu",13,"Acoperișuri > Sisteme de jgheaburi și burlane",0.86,"","keyword ""jgheab""",""
"Lățimea 250 mm",12,"Acoperișuri > Accesorii acoperiș",0.86,"","keyword ""latimea""",""
"Cuie",12,"Elemente de fixare > Cuie și nituri",0.98,"","exact match ""cuie""","Fațade și sisteme exterioare > Tencuieli decorative"
"Șuruburi",12,"Elemente de fixare > Șuruburi",0.98,"","exact match ""suruburi""",""
"Mortar pe bază de ciment",11,"Beton, ciment și mortare > Mortare și șape",0.98,"","exact match ""mortar pe baza de ciment""","Beton, ciment și mortare > Ciment"
"Hârtie abrazivă",11,"Scule și echipamente > Abrazive",0.98,"","exact match ""hartie abraziva""",""
"Accesorii pentru profile",10,"Gips-carton și sisteme interioare > Profile pentru gips-carton",0.98,"","exact match ""accesorii pentru profile""","Profile metalice și schelete > Profile pentru construcții"
"Materiale hidroizolante",10,"Hidroizolație și chimie pentru construcții > Materiale hidroizolante",0.98,"","exact match ""materiale hidroizolante""","Electrice > Materiale electrice"
"Șape autonivelante",10,"Beton, ciment și mortare > Mortare și șape",0.98,"","exact match ""sape autonivelante""",""
"Balamale",10,"Uși și ferestre > Feronerie pentru uși",0.98,"","exact match ""balamale""",""
"Spacluri, driști, mistrii",10,"Scule și echipamente > Scule de mână",0.86,"","keyword ""spacluri""",""
"Ciocane, Topoare",10,"Scule și echipamente > Scule de mână",0.86,"","keyword ""ciocane""",""
"Clește",10,"Scule și echipamente > Scule de mână",0.98,"","exact match ""cleste""",""
"Scule de măsurare",10,"Scule și echipamente > Scule de măsurare",0.98,"","exact match ""scule de masurare""","Scule și echipamente > Scule de tăiat"
"Blocuri BCA",10,"Zidărie și materiale structurale > Blocuri",0.98,"","exact match ""blocuri bca""",""
"Corniere și leațuri",9,"Acoperișuri > Accesorii acoperiș",0.98,"","exact match ""corniere si leaturi""","Zidărie și materiale structurale > Lemn și cherestea"
"Leaț",9,"Acoperișuri > Accesorii acoperiș",0.98,"","exact match ""leat""","Zidărie și materiale structurale > Lemn și cherestea"
"Polistiren expandat",8,"Termoizolare și fonoizolare > Polistiren",0.98,"","exact match ""polistiren expandat""",""
"Mastic bituminos",8,"Hidroizolație și chimie pentru construcții > Materiale hidroizolante",0.98,"","exact match ""mastic bituminos""",""
"Adaosuri în beton",8,"Beton, ciment și mortare > Aditivi pentru beton",0.98,"","exact match ""adaosuri in beton""",""
"Accesorii",8,"Gips-carton și sisteme interioare > Profile pentru gips-carton",0.86,"","keyword ""accesorii pentru profile""","Gips-carton și sisteme interioare > Accesorii gips-carton"
"Membrane bituminoase",7,"Acoperișuri > Membrane și folii pentru acoperiș",0.98,"","exact match ""membrane bituminoase""",""
"Lățimea 200 mm",7,"Acoperișuri > Accesorii acoperiș",0.86,"","keyword ""latimea""",""
"Dibluri cu șurub",7,"Elemente de fixare > Dibluri și ancore",0.98,"","exact match ""dibluri cu surub""","Termoizolare și fonoizolare > Accesorii termoizolare"
"Soluiții antimucegai",6,"Hidroizolație și chimie pentru construcții > Soluții de protecție",0.98,"","exact match ""soluitii antimucegai""",""
"Diblu din polipriopilenă",6,"Elemente de fixare > Dibluri și ancore",0.98,"","exact match ""diblu din polipriopilena""","Gips-carton și sisteme interioare > Plăci și panouri"
"Accesorii pentru zugrăvit",6,"Scule și echipamente > Accesorii pentru zugrăvit",0.98,"","exact match ""accesorii pentru zugravit""","Gips-carton și sisteme interioare > Profile pentru gips-carton"
"Chei, tubulare",6,"Scule și echipamente > Scule de mână",0.98,"","exact match ""chei, tubulare""",""
"Bituri",6,"Scule și echipamente > Burghii și accesorii",0.98,"","exact match ""bituri""",""
"Electrolizi",6,"Scule și echipamente > Consumabile pentru sudură",0.98,"","exact match ""electrolizi""",""
"Substraturi pentru laminat",6,"Pardoseli > Laminat",0.98,"","exact match ""substraturi pentru laminat""","Gips-carton și sisteme interioare > Profile pentru gips-carton"
"Caramidă",6,"Zidărie și materiale structurale > Cărămidă",0.98,"","exact match ""caramida""",""
"Bandă gips carton",5,"Gips-carton și sisteme interioare > Plăci de gips-carton",0.98,"","exact match ""banda gips carton""","Gips-carton și sisteme interioare > Accesorii gips-carton"
"Membrană pentru fundament",5,"Hidroizolație și chimie pentru construcții > Materiale hidroizolante",0.98,"","exact match ""membrana pentru fundament""","Gips-carton și sisteme interioare > Profile pentru gips-carton"
"Adeziv pentru fibră de sticlă",5,"Fațade și sisteme exterioare > Sisteme termoizolante pentru fațade",0.98,"","exact match ""adeziv pentru fibra de sticla""","Termoizolare și fonoizolare > Accesorii termoizolare"
"Pigmenți",5,"Vopsele și finisaje > Pigmenți și coloranți",0.98,"","exact match ""pigmenti""",""
"Diblu cu șurub cap hexagonal",5,"Elemente de fixare > Dibluri și ancore",0.98,"","exact match ""diblu cu surub cap hexagonal""",""
"Nituri din aluminiu",5,"Elemente de fixare > Cuie și nituri",0.98,"","exact match ""nituri din aluminiu""","Gips-carton și sisteme interioare > Plăci și panouri"
"Rulouri",5,"Scule și echipamente > Accesorii pentru zugrăvit",0.98,"","exact match ""rulouri""","Uși și ferestre > Jaluzele și rulouri"
"Vase pentru zugrăvit",5,"Scule și echipamente > Accesorii pentru zugrăvit",0.98,"","exact match ""vase pentru zugravit""","Gips-carton și sisteme interioare > Profile pentru gips-carton"
"Capsatoare",5,"Scule și echipamente > Scule de mână",0.98,"","exact match ""capsatoare""",""
"PVA",4,"Beton, ciment și mortare > Adezivi pentru construcții",0.98,"","exact match ""pva""",""
"Diluant",4,"Vopsele și finisaje > Diluanți",0.98,"","exact match ""diluant""",""
"Bandă adezivă",4,"Gips-carton și sisteme interioare > Plăci de gips-carton",0.40,"","1/2 tokens","Gips-carton și sisteme interioare > Accesorii gips-carton"
"Șurubelnițe",4,"Scule și echipamente > Scule de mână",0.98,"","exact match ""surubelnite""",""
"Plasă sudată zincată",4,"Profile metalice și schelete > Tablă și plasă metalică",0.98,"","exact match ""plasa sudata zincata""","Termoizolare și fonoizolare > Accesorii termoizolare"
"Recuperator de aer (Marley)",4,"Acoperișuri > Accesorii acoperiș",0.86,"","keyword ""recuperator de aer""","Ventilație și climatizare > Accesorii ventilație"
"Polistiren extrudat",3,"Termoizolare și fonoizolare > Polistiren",0.98,"","exact match ""polistiren extrudat""",""
"Plasă din fibră de sticlă",3,"Termoizolare și fonoizolare > Accesorii termoizolare",0.98,"","exact match ""plasa din fibra de sticla""","Fațade și sisteme exterioare > Sisteme termoizolante pentru fațade"
"Lățimea 125 mm",3,"Acoperișuri > Accesorii acoperiș",0.86,"","keyword ""latimea""",""
"Element de stopare ușă",3,"Uși și ferestre > Feronerie pentru uși",0.98,"","exact match ""element de stopare usa""",""
"Perii",3,"Scule și echipamente > Accesorii pentru zugrăvit",0.98,"","exact match ""perii""",""
"Pistoale pentru montare",3,"Scule și echipamente > Scule de mână",0.98,"","exact match ""pistoale pentru montare""","Gips-carton și sisteme interioare > Profile pentru gips-carton"
"Lame, pânze",3,"Scule și echipamente > Scule de tăiat",0.98,"","exact match ""lame, panze""","Scule și echipamente > Burghii și accesorii"
"Discuri pentru tăiat",3,"Scule și echipamente > Burghii și accesorii",0.98,"","exact match ""discuri pentru taiat""","Scule și echipamente > Scule de tăiat"
"Mănuși de lucru",3,"Echipament de protecție > Echipament individual de protecție",0.98,"","exact match ""manusi de lucru""",""
"Plasă ""rabița""",3,"Termoizolare și fonoizolare > Accesorii termoizolare",0.40,"","1/2 tokens","Fațade și sisteme exterioare > Sisteme termoizolante pentru fațade"
"Plasă sudată VR-1",3,"Profile metalice și schelete > Tablă și plasă metalică",0.98,"","exact match ""plasa sudata vr-1""","Termoizolare și fonoizolare > Accesorii termoizolare"
"Sârmă de legat",3,"Profile metalice și schelete > Tablă și plasă metalică",0.98,"","exact match ""sarma de legat""",""
"Ciment",3,"Beton, ciment și mortare > Ciment",0.98,"","exact match ""ciment""","Beton, ciment și mortare > Mortare și șape"
"Nisip în saci",3,"Beton, ciment și mortare > Agregate",0.98,"","exact match ""nisip in saci""",""
"Adezivi pentru gips carton",2,"Gips-carton și sisteme interioare > Accesorii gips-carton",0.98,"","exact match ""adezivi pentru gips carton""","Gips-carton și sisteme interioare > Plăci de gips-carton"
"Chit rosturi gips carton",2,"Gips-carton și sisteme interioare > Accesorii gips-carton",0.98,"","exact match ""chit rosturi gips carton""","Gips-carton și sisteme interioare > Plăci de gips-carton"
"Fibră de sticlă",2,"Termoizolare și fonoizolare > Accesorii termoizolare",0.98,"","exact match ""fibra de sticla""","Fațade și sisteme exterioare > Sisteme termoizolante pentru fațade"
"Dibluri pentru termoizolare",2,"Termoizolare și fonoizolare > Accesorii termoizolare",0.98,"","exact match ""dibluri pentru termoizolare""","Elemente de fixare > Dibluri și ancore"
"Adeziv pentru tapete",2,"Beton, ciment și mortare > Adezivi pentru construcții",0.98,"","exact match ""adeziv pentru tapete""","Fațade și sisteme exterioare > Sisteme termoizolante pentru fațade"
"Adeziv pentru parchet",2,"Beton, ciment și mortare > Adezivi pentru construcții",0.98,"","exact match ""adeziv pentru parchet""","Fațade și sisteme exterioare > Sisteme termoizolante pentru fațade"
"Adeziv pentru baghete",2,"Beton, ciment și mortare > Adezivi pentru construcții",0.98,"","exact match ""adeziv pentru baghete""","Vopsele și finisaje > Baghete și elemente decorative"
"Sisteme pentru uși glisante",2,"Uși și ferestre > Feronerie pentru uși",0.98,"","exact match ""sisteme pentru usi glisante""","Fațade și sisteme exterioare > Sisteme termoizolante pentru fațade"
"Diblu cu șurub pentru schelă",2,"Elemente de fixare > Dibluri și ancore",0.98,"","exact match ""diblu cu surub pentru schela""","Gips-carton și sisteme interioare > Profile pentru gips-carton"
"Peleți",2,"Amenajări exterioare > Combustibil solid",0.98,"","exact match ""peleti""",""
"Placă gips (Knauf)",2,"Gips-carton și sisteme interioare > Plăci de gips-carton",0.86,"","keyword ""placa gips""","Gips-carton și sisteme interioare > Accesorii gips-carton"
"Vopsea decorativă",1,"Vopsele și finisaje > Vopsele decorative",0.98,"","exact match ""vopsea decorativa""","Fațade și sisteme exterioare > Tencuieli decorative"
"Chimie pentru lemn",1,"Vopsele și finisaje > Lacuri și protecția lemnului",0.98,"","exact match ""chimie pentru lemn""","Gips-carton și sisteme interioare > Profile pentru gips-carton"
"Peliculă de protecție",1,"Hidroizolație și chimie pentru construcții > Soluții de protecție",0.98,"","exact match ""pelicula de protectie""","Echipament de protecție > Echipament individual de protecție"
"Scări",1,"Scule și echipamente > Scări",0.98,"","exact match ""scari""",""
"OSB 3",1,"Gips-carton și sisteme interioare > Plăci și panouri",0.80,"","1/1 tokens",""
"Placaj",1,"Gips-carton și sisteme interioare > Plăci și panouri",0.98,"","exact match ""placaj""",""
"PFL",1,"Gips-carton și sisteme interioare > Plăci și panouri",0.98,"","exact match ""pfl""",""
"Tablă zincată",1,"Profile metalice și schelete > Tablă și plasă metalică",0.98,"","exact match ""tabla zincata""",""
"Pietriș în saci",1,"Beton, ciment și mortare > Agregate",0.98,"","exact match ""pietris in saci""",""
"Cheramzit",1,"Termoizolare și fonoizolare > Accesorii termoizolare",0.98,"","exact match ""cheramzit""","Beton, ciment și mortare > Agregate"
